EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
106.77,106.77,10,880,90.39913773536682,91980,0.8442965745925903,0.6280231,0.054687805,0.0,-0.039450496,41.94252
118.8,118.8,15,895,92.39697337150574,93907,0.9067141860723495,0.615693,0.06155095,0.0,-0.029569358,32.095005
128.75,128.75,19,914,94.39343214035034,95870,0.902450442314148,0.6154652,0.02871495,0.0,-0.05050915,31.768625
148.73,148.73,2,916,96.20970630645752,97870,0.670645147562027,0.61561376,0.03279621,0.0,-0.020161001,40.304817
168.07,168.07,10,926,98.12305116653442,100321,0.7995114773511887,0.6151903,0.03070153,0.0,-0.033258826,39.47764
183.33,183.33,2,928,99.95858359336853,102321,0.8530180752277374,0.61605054,0.11010859,0.0,-0.088843025,44.65446
203.31,203.31,2,930,101.80809783935547,104321,0.728586882352829,0.6164886,0.013757122,0.0,-0.040974908,38.32719
223.29,223.29,2,932,103.67164349555969,106321,0.7864972352981567,0.6162146,0.058442164,0.0,-0.038785417,32.0157
180.37,180.37,39,971,105.77471351623535,108491,0.9323918670415878,0.6160158,0.03783748,0.0,-0.04425263,38.679356
154.41,154.41,35,1006,107.7556459903717,110304,0.9383092448115349,0.6159362,0.033008054,0.0,-0.044426832,29.704235
47.89,47.89,36,1042,109.86467409133911,112041,0.9396242089569569,0.61543024,0.012785544,0.0,-0.023383753,30.08199
67.87,67.87,2,1044,111.65803027153015,114041,0.5602840781211853,0.6150353,0.02100374,0.0,-0.024399722,43.49781
87.85,87.85,2,1046,113.54570484161377,116041,0.7234480977058411,0.6156204,0.03367989,0.0,-0.055313747,33.68029
103.77,103.77,2,1048,115.45030570030212,118041,0.7893028855323792,0.6165097,0.02406807,0.0,-0.039366283,39.73683
123.75,123.75,2,1050,117.22974181175232,120041,0.7692045420408249,0.6169002,0.030562365,0.0,-0.044378888,32.155323
144.92,144.92,11,1061,119.08939790725708,122573,0.8283016830682755,0.6163094,0.026533712,0.0,-0.026990402,48.99741
142.81,142.81,42,1103,121.18704295158386,124582,0.9032027050852776,0.6159127,0.023587234,0.0,-0.019862656,41.805725
95.73,95.73,44,1147,123.30975937843323,126614,0.9099497646093369,0.6130658,0.018021291,0.0,-0.05331331,33.626694
46.4,46.4,44,1191,125.3624017238617,128799,0.9286974519491196,0.6119136,0.01303554,0.0,-0.022825135,37.967594
52.68,52.68,29,1220,127.30537796020508,130702,0.9293385669589043,0.6138783,0.009390508,0.0,-0.027011555,33.004772
55.23,55.23,21,1241,129.2673077583313,132131,0.9349959939718246,0.61227614,0.024735492,0.0,-0.012941112,23.454128
85.2,85.2,3,1244,131.03165531158447,135131,0.4151730537414551,0.60751045,0.016737249,0.0,-0.024791325,69.904434
105.18,105.18,2,1246,132.85291266441345,137131,0.6471626460552216,0.6099447,0.016868178,0.0,-0.005547545,51.23082
120.52,120.52,2,1248,134.64698934555054,139131,0.6179718673229218,0.6095264,0.014204963,0.0,-0.014083378,45.17434
121.2,121.2,37,1285,136.52439141273499,140913,0.9358971863985062,0.6095217,0.02959846,0.0,-0.030537173,35.77513
114.83,114.83,41,1326,138.45004773139954,143061,0.9530434012413025,0.6116207,0.04042496,0.0,-0.0114271585,26.12559
50.44,50.44,41,1367,140.50365352630615,145118,0.9128224775195122,0.61513525,0.012277011,0.0,-0.007851235,45.568108
50.0,50.0,41,1408,142.4513339996338,147191,0.9365702793002129,0.6162846,0.0017620224,0.0,-0.01579049,34.95156
50.82,50.82,43,1451,144.45398473739624,149341,0.9395633339881897,0.61765474,0.0061348276,0.0,0.00688219,34.875183
46.47,46.47,44,1495,146.53916764259338,151403,0.9395447000861168,0.6182735,0.002080266,0.0,-0.0030794363,34.336815
46.97,46.97,36,1531,148.509667634964,153125,0.932213693857193,0.61942935,0.0030127394,0.0,-0.022558583,33.335175
47.24,47.24,43,1574,150.72788906097412,155300,0.9038946405053139,0.62109303,0.0036628891,0.0,-0.032622565,42.824745
46.99,46.99,40,1614,152.82877564430237,157377,0.927122600376606,0.6188143,0.012458432,0.0,-0.014022654,34.435646
56.81,56.81,25,1639,154.81895875930786,159697,0.8462561070919037,0.6071212,0.04720415,0.0,-0.012817541,57.334427
67.02,67.02,19,1658,156.81632351875305,161644,0.9106985554099083,0.6041858,0.024450751,0.0,-0.01224648,36.342453
87.0,87.0,2,1660,158.70314192771912,163644,0.8852322474122047,0.6088638,0.10547492,0.0,-0.072409734,28.941307
98.92,98.92,17,1677,160.63339233398438,165543,0.8763372004032135,0.6078598,0.013463337,0.0,-0.0224932,42.956978
89.7,89.7,41,1718,162.6519718170166,167824,0.9338349848985672,0.60182023,0.21264634,0.0,-0.04053361,32.500267
48.16,48.16,45,1763,164.75364422798157,169928,0.9141550213098526,0.6052969,0.007866085,0.0,-0.003508716,43.32625
47.55,47.55,34,1797,166.73367166519165,171704,0.9291137084364891,0.5990503,0.019711947,0.0,0.0043017287,34.82185
45.25,45.25,51,1848,168.88440012931824,174027,0.8950107023119926,0.5986785,0.0069740694,0.0,-7.9039484e-05,55.596508
42.81,42.81,44,1892,171.07079815864563,175980,0.9254931882023811,0.59799117,0.010604827,0.0,-0.0113945585,42.26399
52.79,52.79,10,1902,172.93956899642944,177416,0.865745484828949,0.59247774,0.030683167,0.0,-0.027307544,37.659264
65.32,65.32,35,1937,174.88673162460327,180132,0.859655037522316,0.5949238,0.014023848,0.0,-0.020897444,59.65141
69.53,69.53,38,1975,176.95308637619019,182272,0.9323391243815422,0.5957748,0.0023909986,0.0,-0.017617304,35.583103
89.51,89.51,2,1977,178.96241188049316,184272,0.4446030259132385,0.5970096,0.026749015,0.0,-0.022035325,54.92618
70.54,70.54,41,2018,181.05787301063538,186341,0.9171919897198677,0.5931661,0.0043627205,0.0,-0.009645205,38.9443
90.52,90.52,2,2020,182.90557527542114,188341,0.8533572107553482,0.59662116,0.06359469,0.0,-0.054296352,38.358074
